id,judge_id,court_id,judge,court,,,,name,judges_id,,id,district,county
,474,,Honorable Sarah Beth Landau,1st Court of Appeals,,,,Honorable John Brick,51,,51,353rd District Court,Travis
,475,,Honorable Alex L Yarbrough,7th Court of Appeals,,,,Honorable Terri Tipton Holder,52,,52,271st District Court,Wise
,476,,Honorable Elizabeth Sturdivant Kerr,2nd Court of Appeals,,,,Honorable Jessica Lauren Mangrum,53,,53,326th District Court,Taylor
,477,,Honorable Luz Elena D Chapa,4th Court of Appeals,,,,Honorable Brock R. Smith,54,,54,319th District Court,Nueces
,478,,Honorable Jim Wright,10th Court of Appeals,,,,Honorable Paul R. Rotenberry,55,,55,97th District Court,Montague
,479,,Honorable Randy Wilson,14th Court of Appeals,,,,Honorable David V. Stith,56,,56,126th District Court,Travis
,480,,Honorable Leanne Johnson,9th Court of Appeals,,,,Honorable Jack A. McGaughey,57,,57,14th District Court,Dallas
,481,,Honorable W. Bruce Williams,11th Court of Appeals,,,,Honorable Eric Moye,58,,58,21st District Court,Bastrop
,482,,Honorable Frances Bourliot,14th Court of Appeals,,,,Honorable Carson Campbell,59,,59,11th District Court,Harris
,483,,Honorable Lisa J. Soto,8th Court of Appeals,,,,Honorable Kristin Brauchle Hawkins,60,,60,County Court at Law,Parker
,484,,Honorable Jaime Eduardo Tijerina,13th Court of Appeals,,,,Honorable Jerry Buckner,61,,61,County Court at Law,Rusk
,485,,Honorable Kathleene Dennise Garcia,5th Court of Appeals,,,,Honorable Chad W. Dean,62,,62,County Court at Law,Kerr
,486,,Honorable Lori Irene Valenzuela,4th Court of Appeals,,,,Honorable Susan F. Harris,63,,63,95th District Court,Dallas
,487,,Honorable Nora L. Longoria,13th Court of Appeals,,,,Honorable MONICA MCCOY PURDY,64,,64,129th District Court,Harris
,488,,Honorable Thomas John Baker,3rd Court of Appeals,,,,Honorable Michael Paul Gomez,65,,65,344th District Court,Chambers
,489,,Honorable Irene Rios,4th Court of Appeals,,,,Honorable Randy McDonald,66,,66,County Civil Court at Law No 4,Harris
,490,,Honorable Amparo Monique Guerra,1st Court of Appeals,,,,Honorable Manpreet Monica Singh,67,,67,360th District Court,Tarrant
,491,,Honorable Richard F. Hightower,1st Court of Appeals,,,,Honorable Patricia Bennett,68,,68,137th District Court,Lubbock
,492,,Honorable Peter Michael Kelly,1st Court of Appeals,,,,Honorable John Jackson McClendon,69,,69,323rd District Court,Tarrant
,493,,Honorable Liza Ann Rodriguez,4th Court of Appeals,,,,Honorable Alexander Han Joong Kim,70,,70,25th District Court,Guadalupe
,494,,Honorable Kenneth Price Wise,14th Court of Appeals,,,,Honorable Jessica Crawford,71,,71,361st District Court,Brazos
,495,,Honorable Kevin D. Jewell,14th Court of Appeals,,,,Honorable Steven Lee Smith,72,,72,281st District Court,Harris
,496,,Honorable Nora Longoria,13th Court of Appeals,,,,Honorable Christine Weems,73,,73,313th District Court,Harris
,497,,Honorable Julie Countiss,1st Court of Appeals,,,,Honorable Natalia Oakes,74,,74,457th District Court,Montgomery
,498,,Honorable Darlene Byrne,3rd Court of Appeals,,,,Honorable Vincenzo Santini,75,,75,448th District Court,El Paso
,499,,Honorable Jay M. Wright,9th Court of Appeals,,,,Honorable Sergio H. Enriquez,76,,76,118th District Court,Glasscock
,500,,Honorable Gina  M.  Palafox,8th Court of Appeals,,,,Honorable Raul T. Perales,77,,77,285th District Court,Bexar
,501,,Honorable J. Woodfin 'Woodie' Jones,3rd Court of Appeals,,,,Honorable Jeralynn Manor,78,,78,80th District Court,Harris
,502,,Honorable Gordon Goodman,1st Court of Appeals,,,,Honorable Brittanye Morris,79,,79,333rd District Court,Harris
,503,,Honorable Brian Hoyle,12th Court of Appeals,,,,Honorable Tracy Gray,80,,80,County Court At Law,Kaufman
,504,,Honorable Georgina M. Benavides,13th Court of Appeals,,,,Honorable Patrick H. Simmons,81,,81,77th District Court,Freestone
,505,,Honorable Patricia O'Connell Alvarez,4th Court of Appeals,,,,Honorable John Byron McMaster,82,,82,Williamson County Court at Law No. 4,Williamson
,478,,Honorable Jim Wright,11th Court of Appeals,,,,Honorable Lora J. Livingston,83,,83,County Civil Court at Law No 2,Harris
,506,,Honorable Bill Bass,12th Court of Appeals,,,,Honorable Jim F. Kovach,84,,84,25th District Court,Gonzales
,507,,Honorable James T. Worthen,12th Court of Appeals,,,,Honorable William D. Old,85,,85,143rd District Court,Reeves
,508,,Honorable N. Terry Adams,1st Court of Appeals,,,,Honorable Catherine A. Mauzy,86,,86,98th District Court,Travis
,457,,Honorable Per Curiam,4th Court of Appeals,,,,Honorable Christian Becerra,87,,87,434th District Court,Fort Bend
,457,,Honorable Per Curiam,9th Court of Appeals,,,,Honorable Mark Alan Calhoon,88,,88,3rd District Court,Anderson
,509,,Honorable Hollis  Horton,9th Court of Appeals,,,,Honorable Grant Kinsey,89,,89,440th District Cpurt,Coryell
,457,,Honorable Per Curiam,3rd Court of Appeals,,,,Honorable Rabeea Sultan Collier,90,,90,113th District Court,Harris
,457,,Honorable Per Curiam,11th Court of Appeals,,,,Honorable Robin Malone Darr,91,,91,385th District Court,Midland
,510,,Honorable E. Lee Gabriel,2nd Court of Appeals,,,,Honorable Barbara J. Stalder,92,,92,280th District Court,Harris
,511,,Honorable Barbara E. Rosenberg,5th Court of Appeals,,,,Honorable Thomas R. Culver,93,,93,240th District Court,Fort Bend
,457,,Honorable Per Curiam,13th Court of Appeals,,,,Honorable Jerome Scott Hennigan,94,,94,324th District Court,Tarrant
,512,,Honorable Robert D. Burns,5th Court of Appeals,,,,Honorable R. O'Neil Williams,95,,95,268th District Court,Fort Bend
,513,,Honorable Rebeca C. Martinez,4th Court of Appeals,,,,Honorable Ana Estevez,96,,96,251st District Court,Randall
,514,,Honorable Jeffrey S. Alley,8th Court of Appeals,,,,Honorable Albert D. Pattillo,97,,97,216th District Court,Gillespie
,515,,Honorable Sandee Bryan Marion,8th Court of Appeals,,,,Honorable Chris Martin,98,,98,294th District Court,Van Zandt
,516,,Honorable Lana Rolf Myers,5th Court of Appeals,,,,Honorable Melissa Bellan,99,,99,County Court at Law No 2,Dallas
,517,,Honorable David E. Puryear,3rd Court of Appeals,,,,Honorable Kemper Stephen Williams,100,,100,135th District Court,Refugio
,518,,Honorable Jeffrey L. Rose,10th Court of Appeals,,,,Honorable Frank Malinak,101,,101,Lee County Court,Lee
,519,,Honorable Carolyn I. Wright,5th Court of Appeals,,,,Honorable Susan H. McCoy,102,,102,153rd District Court,Tarrant
,457,,Honorable Per Curiam,7th Court of Appeals,,,,Honorable David Anthony Lopez,103,,103,256th District Court,Dallas
,520,,Honorable Leslie Lester Osborne,5th Court of Appeals,,,,Honorable Karin R. Crump,104,,104,424th District Court,Burnet
,521,,Honorable Leticia Hinojosa,13th Court of Appeals,,,,Honorable Mary Murphy,105,,105,336th District Court,Fannin
,522,,Honorable Josh R. Morriss,6th Court of Appeals,,,,Honorable Gloria E. Lopez,106,,106,308th District Court,Harris
,523,,Honorable David J. Schenck,5th Court of Appeals,,,,Honorable D'Metria Benson,107,,107,County Court at Law No 1,Dallas
,457,,Honorable Per Curiam,5th Court of Appeals,,,,Honorable Christopher Gregory,108,,108,59th District Court,Grayson
,524,,Honorable Sherry Radack,1st Court of Appeals,,,,Honorable Lawrence (Larry) A. Phillips,109,,109,225th District Court,Bexar
,525,,Honorable Melissa Young Goodwin,3rd Court of Appeals,,,,Honorable Kevin Dan Henderson,110,,110,191st District Court,Dallas
,1,,Honorable Andrea Stroh Thompson,416th District Court,Collin,,,Honorable Gena Nicole Slaughter,111,,111,312th District Court,Harris
,2,,Honorable Michelle Moore,314th District Court,Harris,,,Honorable Clinton (Chip) Wells,112,,112,46th District Court,Wilbarger
,3,,Honorable Sonya Heath,310th District Court,Harris,,,Honorable Cornell (Cory) Douglas Curtis,113,,113,189th District Court,Harris
,4,,Honorable Deeanne Scoboda Galvan,County Court at Law No 3,Nueces,,,Honorable Maria Aceves,114,,114,131st District Court,Bexar
,5,,Honorable Jeffrey A. Shadwick,55th District Court,Harris,,,Honorable Tamika Craft-Demming,115,,115,County Court at Law No 3,Cameron
,6,,Honorable Jill Renfro Willis,429th District Court,Collin,,,Honorable Cynthia Marie Chapa,116,,116,119th District Court,Concho
,7,,Honorable Tanya Garrison,157th District Court,Harris,,,Honorable Dimple Malhotra,117,,117,County Court at Law No 2,Taylor
,8,,Honorable Donna Roth,295th District Court,Harris,,,Honorable David Gonzales,118,,118,65th District Court,El Paso
,9,,Honorable Sally Lundberg Montgomery,County Court at Law No 3,Dallas,,,Honorable Garland Ben Woodward,119,,119,320th District Court,Potter
,10,,Honorable Clay White,County Court at Law No 3,Smith,,,Honorable Harriett L. Haag,120,,120,215th District Court,Harris
,11,,Honorable Tonya Parker,116th District Court,Dallas,,,Honorable Yahara Lisa Gutierrez,121,,121,253rd District Court,Chambers
,12,,Honorable Jan Soifer,459th District Court,Travis,,,Honorable William C. Sowder,122,,122,County Court at Law No 2,Tarrant
,13,,Honorable J. Brad McCampbell,402nd District Court,Wood,,,Honorable Elaine H. Palmer,123,,123,151st District Court,Harris
,14,,Honorable Guy S. Herman,Probate Court No 1,Travis,,,Honorable Chap B. Cain,124,,124,212th District Court,Galveston
,15,,Honorable J. Allan Garrett,33rd District Court,Blanco,,,Honorable Jennifer Setser Rymell,125,,125,506th District Court,Waller
,16,,Honorable James Benjamin Munford,322nd District Court,Tarrant,,,Honorable Norman Keith Williams,126,,126,County Court at Law No 2,Denton
,17,,Honorable Pat Gallagher,96th District Court,Tarrant,,,Honorable Michael C. Engelhart,127,,127,166th District Court,Bexar
,18,,Honorable Tameika Carter,400th District Court,Fort Bend,,,Honorable Patricia V. Grady,128,,128,County Court at Law No 5,Nueces
,19,,Honorable Timothy D. Yeats,118th District Court,Martin,,,Honorable Albert M. McCaig,129,,129,165th District Court,Harris
,20,,Honorable Maya Guerra Gamble,53rd District Court,Travis,,,Honorable Robert Ramirez,130,,130,23rd District Court,Matagorda
,21,,Honorable Hal R. Ridley,278th District Court,Leon,,,Honorable Kimberly S. Burley,131,,131,201st District Court,Travis
,22,,Honorable Brandy Hallford,County Court at Law No 1,Williamson,,,Honorable Timothy J. McCoy,132,,132,48th District Court,Tarrant
,23,,Honorable Carry A. Baker,108th District Court,Potter,,,Honorable Ursula A. Hall,133,,133,73rd District Court,Bexar
,24,,Honorable Emily G. Tobolowsky,298th District Court,Dallas,,,Honorable Ben Hardin,134,,134,269th District Court,Harris
,25,,Honorable Aiesha Redmond,160th District Court,Dallas,,,Honorable Christopher Taylor,135,,135,127th District Court,Harris
,26,,Honorable John (Mike) M. Swanson,143rd District Court,Loving,,,Honorable David A. Canales,136,,136,237th District Court,Lubbock
,27,,Honorable Ashley Elizabeth Wysocki,162nd District Court,Dallas,,,Honorable Cory Sepolio,137,,137,10th District Court,Galveston
,28,,Honorable Maricela Breedlove,162nd District Court,Dallas,,,Honorable Ravi K. Sandill,138,,138,56th District Court,Galveston
